ID,NationalDex,Name,HP,Atk,Def,SpA,SpD,Spe,Total,Type1,Type2,Tier,Ability1,Ability2,HiddenAbility,Mass,LK/GK,EVYield,EXPV,Color,Hatch,Gender,EggGroup1,EggGroup2,Catch,EXP,Evolve,EvolveNum,HasForms,IsForm,IsDefaultForm,IsAlolanForm,IsGalarianForm,IsGalarianEvolution,EvolvesFromRegionalForm,JohtoDex,HoennDex,SinnohDex,UnovaDex,KalosDex,AlolaDex,GalarDex,IsleOfArmorDex,CrownTundraDex,PrevEvolution,NextEvolution,IsGalar
249,177,Natu,40,50,45,70,45,70,320,Psychic,Flying,,Synchronize,Early Bird,Magic Bounce,2 kG,20,1 SpA,64,Green,5120,Neutral,Flying,,190,1000000,,1,False,False,True,False,False,False,False,161,162,-1,-1,-1,-1,92,-1,-1,,Xatu,False
250,178,Xatu,65,75,70,95,70,95,470,Psychic,Flying,,Synchronize,Early Bird,Magic Bounce,15 kG,40,1 SpA/1 Spe,165,Green,5120,Neutral,Flying,,75,1000000,Lv. 25,,False,False,True,False,False,False,False,162,163,-1,-1,-1,-1,93,-1,-1,Natu,,False
251,179,Mareep,55,40,40,65,45,35,280,Electric,,,Static,None,Plus,7.8 kG,20,1 SpA,56,White,5120,Neutral,Monster,Field,235,1059860,,1,False,False,True,False,False,False,False,53,-1,-1,-1,-1,-1,-1,-1,-1,,Flaaffy,False
252,180,Flaaffy,70,55,55,80,60,45,365,Electric,,,Static,None,Plus,13.3 kG,40,2 SpA,128,Pink,5120,Neutral,Monster,Field,120,1059860,Lv. 15,1,False,False,True,False,False,False,False,54,-1,-1,-1,-1,-1,-1,-1,-1,Mareep,"Ampharos,Ampharos (Mega)",False
253,181,Ampharos,90,75,85,115,90,55,510,Electric,,,Static,None,Plus,61.5 kG,80,3 SpA,230,Yellow,5120,Neutral,Monster,Field,45,1059860,Lv. 30,,True,False,True,False,False,False,False,55,-1,-1,-1,-1,-1,-1,-1,-1,Flaaffy,,False
254,181,Ampharos (Mega),90,95,105,165,110,45,610,Electric,Dragon,,Mold Breaker,None,,61.5 kG,80,3 SpA,275,Yellow,5120,Neutral,Monster,Field,45,1059860,Lv. 30,,True,True,False,False,False,False,False,55,-1,-1,-1,-1,-1,-1,-1,-1,Flaaffy,,False
255,182,Bellossom,75,80,95,90,100,50,490,Grass,,,Chlorophyll,None,Healer,5.8 kG,20,3 SpD,245,Green,5120,Neutral,Grass,,45,1059860,Sun Stone,,False,False,True,False,False,False,False,86,91,-1,-1,108,-1,58,-1,-1,Gloom,,False
256,183,Marill,70,20,50,20,50,40,250,Water,Fairy,,Thick Fat,Huge Power,Sap Sipper,8.5 kG,20,2 HP,88,Blue,2560,Neutral,Water1,Fairy,190,800000,Friendship,1,False,False,True,False,False,False,False,132,55,125,-1,42,-1,-1,140,-1,Azurill,Azumarill,False
257,184,Azumarill,100,50,80,60,80,50,420,Water,Fairy,,Thick Fat,Huge Power,Sap Sipper,28.5 kG,60,3 HP,210,Blue,2560,Neutral,Water1,Fairy,75,800000,Lv. 18,,False,False,True,False,False,False,False,133,56,126,-1,43,-1,-1,141,-1,Marill,,False
258,185,Sudowoodo,70,100,115,30,65,30,410,Rock,,,Sturdy,Rock Head,Rattled,38 kG,60,2 Def,144,Brown,5120,Neutral,Mineral,,65,1000000,Level w/ Mimic,,False,False,True,False,False,False,False,107,-1,93,-1,-1,31,253,-1,-1,Bonsly,,False
259,186,Politoed,90,75,75,90,100,70,500,Water,,,Water Absorb,Damp,Drizzle,33.9 kG,60,3 SpD,250,Green,5120,Neutral,Water1,,45,1059860,Trade,,False,False,True,False,False,False,False,75,-1,-1,-1,-1,152,-1,145,-1,Poliwhirl,,False
260,187,Hoppip,35,35,40,35,55,50,250,Grass,Flying,,Chlorophyll,Leaf Guard,Infiltrator,0.5 kG,20,1 SpD,50,Pink,5120,Neutral,Fairy,Grass,255,1059860,,1,False,False,True,False,False,False,False,67,-1,-1,-1,135,-1,-1,-1,-1,,Skiploom,False
261,188,Skiploom,55,45,50,45,65,80,340,Grass,Flying,,Chlorophyll,Leaf Guard,Infiltrator,1 kG,20,2 Spe,119,Green,5120,Neutral,Fairy,Grass,120,1059860,Lv. 18,1,False,False,True,False,False,False,False,68,-1,-1,-1,136,-1,-1,-1,-1,Hoppip,Jumpluff,False
262,189,Jumpluff,75,55,70,55,95,110,460,Grass,Flying,,Chlorophyll,Leaf Guard,Infiltrator,3 kG,20,3 Spe,207,Blue,5120,Neutral,Fairy,Grass,45,1059860,Lv. 27,,False,False,True,False,False,False,False,69,-1,-1,-1,137,-1,-1,-1,-1,Skiploom,,False
263,190,Aipom,55,70,55,40,55,85,360,Normal,,,Run Away,Pickup,Skill Link,11.5 kG,40,1 Spe,72,Purple,5120,Neutral,Field,,45,800000,,1,False,False,True,False,False,False,False,123,-1,63,-1,-1,-1,-1,-1,-1,,Ambipom,False
264,191,Sunkern,30,30,30,30,30,30,180,Grass,,,Chlorophyll,Solar Power,Early Bird,1.8 kG,20,1 SpA,36,Yellow,5120,Neutral,Grass,,235,1059860,,1,False,False,True,False,False,False,False,103,-1,-1,-1,-1,-1,-1,-1,-1,,Sunflora,False
265,192,Sunflora,75,75,55,105,85,30,425,Grass,,,Chlorophyll,Solar Power,Early Bird,8.5 kG,20,2 SpA,149,Yellow,5120,Neutral,Grass,,120,1059860,Sun Stone,,False,False,True,False,False,False,False,104,-1,-1,-1,-1,-1,-1,-1,-1,Sunkern,,False
266,193,Yanma,65,65,45,75,45,95,390,Bug,Flying,,Speed Boost,Compound Eyes,Frisk,38 kG,60,1 Spe,78,Red,5120,Neutral,Bug,,75,1000000,,1,False,False,True,False,False,False,False,101,-1,-1,-1,-1,-1,-1,-1,-1,,Yanmega,False
267,194,Wooper,55,45,45,25,25,15,210,Water,Ground,,Damp,Water Absorb,Unaware,8.5 kG,20,1 HP,42,Blue,5120,Neutral,Water1,Field,255,1000000,,1,False,False,True,False,False,False,False,56,-1,117,-1,-1,-1,100,58,-1,,Quagsire,False
268,195,Quagsire,95,85,85,65,65,35,430,Water,Ground,,Damp,Water Absorb,Unaware,75 kG,80,2 HP,151,Blue,5120,Neutral,Water1,Field,90,1000000,Lv. 20,,False,False,True,False,False,False,False,57,-1,118,-1,-1,-1,101,59,-1,Wooper,,False
269,196,Espeon,65,65,60,130,95,110,525,Psychic,,,Synchronize,None,Magic Bounce,26.5 kG,60,2 SpA,184,Purple,8960,M (87.5%),Field,,45,1000000,Day Friendship,,False,False,True,False,False,False,False,188,-1,-1,-1,-1,127,200,-1,79,Eevee,,False
270,197,Umbreon,95,65,110,60,130,65,525,Dark,,,Synchronize,None,Inner Focus,27 kG,60,2 SpD,184,Black,8960,M (87.5%),Field,,45,1000000,Night Friendship,,False,False,True,False,False,False,False,189,-1,-1,-1,-1,128,201,-1,78,Eevee,,False
271,198,Murkrow,60,85,42,85,42,91,405,Dark,Flying,,Insomnia,Super Luck,Prankster,2.1 kG,20,1 Spe,81,Black,5120,Neutral,Flying,,30,1059860,,1,False,False,True,False,False,False,False,213,-1,74,-1,-1,277,-1,-1,-1,,Honchkrow,False
272,199,Slowking,95,75,80,100,110,30,490,Water,Psychic,,Oblivious,Own Tempo,Regenerator,79.5 kG,80,2 SpD,172,Pink,5120,Neutral,Monster,Water1,70,1000000,Trade,,True,False,True,False,False,False,False,82,-1,-1,-1,-1,39,-1,3,-1,Slowpoke,,False
273,199,Slowking (Galar),95,65,80,110,110,30,490,Poison,Psychic,,Curious Medicine,Own Tempo,Regenerator,79.5 kG,80,2 SpD,172,Pink,5120,Neutral,Monster,Water1,70,1000000,Trade,,True,True,False,False,True,False,True,82,-1,-1,-1,-1,39,-1,3,-1,Slowpoke (Galar),,True
274,200,Misdreavus,60,60,60,85,85,85,435,Ghost,,,Levitate,None,,1 kG,20,1 SpD,87,Gray,6400,Neutral,Amorphous,,45,800000,,1,False,False,True,False,False,False,False,219,-1,72,-1,-1,66,-1,-1,-1,,Mismagius,False
275,201,Unown,48,72,48,72,48,48,336,Psychic,,,Levitate,None,,5 kG,20,1 Atk/1 SpA,118,Black,10240,None,Unknown,,225,1000000,,,False,False,True,False,False,False,False,61,-1,114,-1,-1,-1,-1,-1,-1,,,False
276,202,Wobbuffet,190,33,58,33,58,33,405,Psychic,,,Shadow Tag,None,Telepathy,28.5 kG,60,2 HP,142,Blue,5120,Neutral,Amorphous,,45,1000000,Lv. 15,,False,False,True,False,False,False,False,108,161,-1,-1,-1,-1,217,-1,-1,Wynaut,,False
277,203,Girafarig,70,80,65,90,65,85,455,Normal,Psychic,,Inner Focus,Early Bird,Sap Sipper,41.5 kG,60,2 SpA,159,Yellow,5120,Neutral,Field,,60,1000000,,,False,False,True,False,False,False,False,149,164,121,-1,-1,-1,-1,-1,-1,,,False
278,204,Pineco,50,65,90,35,35,15,290,Bug,,,Sturdy,None,Overcoat,7.2 kG,20,1 Def,58,Gray,5120,Neutral,Bug,,190,1000000,,1,False,False,True,False,False,False,False,93,-1,-1,-1,-1,-1,-1,-1,-1,,Forretress,False
279,205,Forretress,75,90,140,60,60,40,465,Bug,Steel,,Sturdy,None,Overcoat,125.8 kG,100,2 Def,163,Purple,5120,Neutral,Bug,,75,1000000,Lv. 31,,False,False,True,False,False,False,False,94,-1,-1,-1,-1,-1,-1,-1,-1,Pineco,,False
280,206,Dunsparce,100,70,70,65,65,45,415,Normal,,,Serene Grace,Run Away,Rattled,14 kG,40,1 HP,145,Yellow,5120,Neutral,Field,,190,1000000,,,False,False,True,False,False,False,False,52,-1,-1,-1,40,-1,-1,52,-1,,,False
281,207,Gligar,65,75,105,35,65,85,430,Ground,Flying,,Hyper Cutter,Sand Veil,Immunity,64.8 kG,80,1 Def,86,Purple,5120,Neutral,Bug,,60,1059860,,1,False,False,True,False,False,False,False,193,-1,-1,-1,-1,-1,-1,-1,-1,,Gliscor,False
282,208,Steelix,75,85,200,55,65,30,510,Steel,Ground,,Rock Head,Sturdy,Sheer Force,400 kG,120,2 Def,179,Gray,6400,Neutral,Mineral,,25,1000000,Trade,,True,False,True,False,False,False,False,63,-1,35,-1,-1,-1,179,-1,-1,Onix,,False
283,208,Steelix (Mega),75,125,230,55,95,30,610,Steel,Ground,,Sand Force,None,,740 kG,120,2 Def,214,Gray,6400,Neutral,Mineral,,25,1000000,Trade,,True,True,False,False,False,False,False,63,-1,35,-1,-1,-1,179,-1,-1,Onix,,False
284,209,Snubbull,60,80,50,40,40,30,300,Fairy,,,Intimidate,Run Away,Rattled,7.8 kG,20,1 Atk,60,Pink,5120,F (75%)),Field,Fairy,190,800000,,1,False,False,True,False,False,False,False,125,-1,-1,-1,-1,258,-1,-1,-1,,Granbull,False
285,210,Granbull,90,120,75,60,60,45,450,Fairy,,,Intimidate,Quick Feet,Rattled,48.7 kG,60,2 Atk,158,Purple,5120,F (75%)),Field,Fairy,75,800000,Lv. 23,,False,False,True,False,False,False,False,126,-1,-1,-1,-1,259,-1,-1,-1,Snubbull,,False
286,211,Qwilfish,65,95,85,55,55,85,440,Water,Poison,,Poison Point,Swift Swim,Intimidate,3.9 kG,20,1 Atk,88,Gray,5120,Neutral,Water2,,45,1000000,,,False,False,True,False,False,False,False,163,-1,-1,-1,-1,-1,304,-1,-1,,,False
287,212,Scizor,70,130,100,55,80,65,500,Bug,Steel,,Swarm,Technician,Light Metal,118 kG,100,2 Atk,175,Red,6400,Neutral,Bug,,25,1000000,Trade,,True,False,True,False,False,False,False,112,-1,-1,-1,-1,276,-1,119,-1,Scyther,,False
288,212,Scizor (Mega),70,150,140,65,100,75,600,Bug,Steel,,Technician,None,,125 kG,100,2 Atk,210,Red,6400,Neutral,Bug,,25,1000000,Trade,,True,True,False,False,False,False,False,112,-1,-1,-1,-1,276,-1,119,-1,Scyther,,False
289,213,Shuckle,20,10,230,10,230,5,505,Bug,Rock,,Sturdy,Gluttony,Contrary,20.5 kG,40,1 Def/1 SpD,177,Yellow,5120,Neutral,Bug,,190,1059860,,,False,False,True,False,False,False,False,168,-1,-1,-1,-1,-1,227,-1,170,,,False
290,214,Heracross,80,125,75,40,95,85,500,Bug,Fighting,,Swarm,Guts,Moxie,54 kG,80,2 Atk,175,Blue,6400,Neutral,Bug,,45,1250000,,,True,False,True,False,False,False,False,114,168,62,-1,-1,-1,-1,121,-1,,,False
291,214,Heracross (Mega),80,185,115,40,105,75,600,Bug,Fighting,,Skill Link,None,,62.5 kG,80,2 Atk,210,Blue,6400,Neutral,Bug,,45,1250000,,,True,True,False,False,False,False,False,114,168,62,-1,-1,-1,-1,121,-1,,,False
292,215,Sneasel,55,95,55,35,75,115,430,Dark,Ice,,Inner Focus,Keen Eye,Pickpocket,28 kG,60,1 Spe,86,Black,5120,Neutral,Field,,60,1059860,,1,False,False,True,False,False,False,False,218,-1,144,-1,-1,249,292,-1,28,,Weavile,False
293,216,Teddiursa,60,80,50,50,50,40,330,Normal,,,Pickup,Quick Feet,Honey Gather,8.8 kG,20,1 Atk,66,Brown,5120,Neutral,Field,,120,1000000,,1,False,False,True,False,False,False,False,198,-1,-1,-1,-1,-1,-1,-1,-1,,Ursaring,False
294,217,Ursaring,90,130,75,75,75,55,500,Normal,,,Guts,Quick Feet,Unnerve,125.8 kG,100,2 Atk,175,Brown,5120,Neutral,Field,,60,1000000,Lv. 30,,False,False,True,False,False,False,False,199,-1,-1,-1,-1,-1,-1,-1,-1,Teddiursa,,False
295,218,Slugma,40,40,40,70,40,20,250,Fire,,,Magma Armor,Flame Body,Weak Armor,35 kG,60,1 SpA,50,Red,5120,Neutral,Amorphous,,190,1000000,,1,False,False,True,False,False,False,False,216,103,-1,-1,-1,-1,-1,-1,-1,,Magcargo,False
296,219,Magcargo,60,50,120,90,80,30,430,Fire,Rock,,Magma Armor,Flame Body,Weak Armor,55 kG,80,2 Def,151,Red,5120,Neutral,Amorphous,,75,1000000,Lv. 38,,False,False,True,False,False,False,False,217,104,-1,-1,-1,-1,-1,-1,-1,Slugma,,False
297,220,Swinub,50,50,40,30,30,50,250,Ice,Ground,,Oblivious,Snow Cloak,Thick Fat,6.5 kG,20,1 Atk,50,Brown,5120,Neutral,Field,,225,1250000,,1,False,False,True,False,False,False,False,195,-1,-1,-1,-1,-1,75,-1,7,,Piloswine,False
298,221,Piloswine,100,100,80,60,60,50,450,Ice,Ground,,Oblivious,Snow Cloak,Thick Fat,55.8 kG,80,1 HP/1 Atk,158,Brown,5120,Neutral,Field,,75,1250000,Lv. 33,1,False,False,True,False,False,False,False,196,-1,-1,-1,-1,-1,76,-1,8,Swinub,Mamoswine,False
299,222,Corsola,65,55,95,65,95,35,410,Water,Rock,,Hustle,Natural Cure,Regenerator,5 kG,20,1 Def/1 SpD,144,Pink,5120,F (75%)),Water1,Water3,60,800000,,,True,False,True,False,False,False,False,173,180,-1,-1,-1,112,236,-1,-1,,,False
300,222,Corsola (Galar),60,55,100,65,100,30,410,Ghost,,,Weak Armor,None,Cursed Body,0.5 kG,20,1 SpD,144,Pink,5120,F (75%)),Water1,Water3,60,800000,,1,True,True,False,False,True,False,False,173,180,-1,-1,-1,112,236,-1,-1,,Cursola,True
301,223,Remoraid,35,65,35,65,35,65,300,Water,,,Hustle,Sniper,Moody,12 kG,40,1 SpA,60,Gray,5120,Neutral,Water1,Water2,190,1000000,,1,False,False,True,False,False,False,False,174,-1,132,-1,-1,-1,148,44,-1,,Octillery,False
302,224,Octillery,75,105,75,105,75,45,480,Water,,,Suction Cups,Sniper,Moody,28.5 kG,60,1 Atk/1 SpA,168,Red,5120,Neutral,Water1,Water2,75,1000000,Lv. 25,,False,False,True,False,False,False,False,175,-1,133,-1,-1,-1,149,45,-1,Remoraid,,False
303,225,Delibird,45,55,45,65,45,75,330,Ice,Flying,,Vital Spirit,Hustle,Insomnia,16 kG,40,1 Spe,116,Red,5120,Neutral,Water1,Field,45,800000,,,False,False,True,False,False,False,False,194,-1,-1,-1,-1,81,78,-1,120,,,False
304,226,Mantine,85,40,70,80,140,70,485,Water,Flying,,Swift Swim,Water Absorb,Water Veil,220 kG,120,2 SpD,170,Purple,6400,Neutral,Water1,,25,1250000,Lv.  w/ Remoraid on team,,False,False,True,False,False,False,False,202,-1,141,-1,-1,-1,355,47,-1,Mantyke,,False
305,227,Skarmory,65,80,140,40,70,70,465,Steel,Flying,,Keen Eye,Sturdy,Weak Armor,50.5 kG,80,2 Def,163,Gray,6400,Neutral,Flying,,25,1250000,,,False,False,True,False,False,False,False,203,115,-1,-1,-1,208,-1,153,-1,,,False
306,228,Houndour,45,60,30,80,50,65,330,Dark,Fire,,Early Bird,Flash Fire,Unnerve,10.8 kG,40,1 SpA,66,Black,5120,Neutral,Field,,120,1250000,,1,False,False,True,False,False,False,False,214,-1,-1,-1,-1,-1,-1,-1,-1,,"Houndoom,Houndoom (Mega)",False
307,229,Houndoom,75,90,50,110,80,95,500,Dark,Fire,,Early Bird,Flash Fire,Unnerve,35 kG,60,2 SpA,175,Black,5120,Neutral,Field,,45,1250000,Lv. 24,,True,False,True,False,False,False,False,215,-1,-1,-1,-1,-1,-1,-1,-1,Houndour,,False
308,229,Houndoom (Mega),75,90,90,140,90,115,600,Dark,Fire,,Solar Power,None,,49.5 kG,60,2 SpA,210,Black,5120,Neutral,Field,,45,1250000,Lv. 24,,True,True,False,False,False,False,False,215,-1,-1,-1,-1,-1,-1,-1,-1,Houndour,,False
309,230,Kingdra,75,95,95,95,95,85,540,Water,Dragon,,Swift Swim,Sniper,Damp,152 kG,100,1 Atk/1 SpA/1 SpD,270,Blue,5120,Neutral,Water1,Dragon,45,1000000,Trade,,False,False,True,False,False,False,False,192,186,-1,-1,-1,-1,-1,200,-1,Seadra,,False
310,231,Phanpy,90,60,60,40,40,40,330,Ground,,,Pickup,None,Sand Veil,33.5 kG,60,1 HP,66,Blue,5120,Neutral,Field,,120,1000000,,1,False,False,True,False,False,False,False,200,165,-1,-1,-1,-1,-1,-1,-1,,Donphan,False
311,232,Donphan,90,120,120,60,60,50,500,Ground,,,Sturdy,None,Sand Veil,120 kG,100,1 Atk/1 Def,175,Gray,5120,Neutral,Field,,60,1000000,Lv. 25,,False,False,True,False,False,False,False,201,166,-1,-1,-1,-1,-1,-1,-1,Phanpy,,False
312,233,Porygon2,85,80,90,105,95,60,515,Normal,,,Trace,Download,Analytic,32.5 kG,60,2 SpA,180,Red,5120,None,Mineral,,45,1000000,Trade,1,False,False,True,False,False,False,False,221,-1,-1,-1,-1,218,-1,209,-1,Porygon,Porygon-Z,False
313,234,Stantler,73,95,62,85,65,85,465,Normal,,,Intimidate,Frisk,Sap Sipper,71.2 kG,80,1 Atk,163,Brown,5120,Neutral,Field,,45,1250000,,,False,False,True,False,False,False,False,131,-1,-1,-1,-1,-1,-1,-1,-1,,,False
314,235,Smeargle,55,20,35,20,45,75,250,Normal,,,Own Tempo,Technician,Moody,58 kG,80,1 Spe,88,White,5120,Neutral,Field,,45,800000,,,False,False,True,False,False,False,False,159,-1,-1,-1,124,58,-1,-1,-1,,,False
315,236,Tyrogue,35,35,35,35,35,35,210,Fighting,,,Guts,Steadfast,Vital Spirit,21 kG,40,1 Atk,42,Purple,6400,M (100%),Unknown,,75,1000000,,1,False,False,True,False,False,False,False,145,-1,-1,-1,-1,-1,107,-1,-1,,Hitmontop,False
316,237,Hitmontop,50,95,95,35,110,70,455,Fighting,,,Intimidate,Technician,Steadfast,48 kG,60,2 SpD,159,Brown,6400,M (100%),Human-like,,45,1000000,,,False,False,True,False,False,False,False,148,-1,-1,-1,-1,-1,110,-1,-1,Tyrogue,,False
317,238,Smoochum,45,30,15,85,65,65,305,Ice,Psychic,,Oblivious,Forewarn,Hydration,6 kG,20,1 SpA,61,Pink,6400,F (100%)),Unknown,,45,1000000,,1,False,False,True,False,False,False,False,154,-1,-1,-1,-1,-1,-1,-1,13,,,False
318,239,Elekid,45,63,37,65,55,95,360,Electric,,,Static,None,Vital Spirit,23.5 kG,40,1 Spe,72,Yellow,6400,M (75%),Unknown,,45,1000000,,1,False,False,True,False,False,False,False,156,-1,-1,-1,-1,226,-1,-1,15,,,False
319,240,Magby,45,75,37,70,55,83,365,Fire,,,Flame Body,None,Vital Spirit,21.4 kG,40,1 Spe,73,Red,6400,M (75%),Unknown,,45,1000000,,1,False,False,True,False,False,False,False,152,-1,-1,-1,-1,166,-1,-1,18,,,False
320,241,Miltank,95,80,105,40,70,100,490,Normal,,,Thick Fat,Scrappy,Sap Sipper,75.5 kG,80,2 Def,172,Pink,5120,F (100%)),Field,,45,1250000,,,False,False,True,False,False,False,False,151,-1,-1,-1,-1,138,-1,117,-1,,,False
321,242,Blissey,255,10,10,75,135,55,540,Normal,,,Natural Cure,Serene Grace,Healer,46.8 kG,60,3 HP,635,Pink,10240,F (100%)),Fairy,,30,800000,Friendship,,False,False,True,False,False,False,False,223,-1,98,-1,-1,34,-1,8,-1,Chansey,,False
322,243,Raikou,90,85,75,115,100,115,580,Electric,,,Pressure,None,Inner Focus,178 kG,100,1 SpA/2 Spe,290,Yellow,20480,None,Unknown,,3,1250000,,,False,False,True,False,False,False,False,243,-1,-1,-1,-1,-1,-1,-1,-1,,,False
323,244,Entei,115,115,85,90,75,100,580,Fire,,,Pressure,None,Inner Focus,198 kG,100,1 HP/2 Atk,290,Brown,20480,None,Unknown,,3,1250000,,,False,False,True,False,False,False,False,244,-1,-1,-1,-1,-1,-1,-1,-1,,,False
324,245,Suicune,100,75,115,90,115,85,580,Water,,,Pressure,None,Inner Focus,187 kG,100,1 Def/2 SpD,290,Blue,20480,None,Unknown,,3,1250000,,,False,False,True,False,False,False,False,245,-1,-1,-1,-1,-1,-1,-1,-1,,,False
325,246,Larvitar,50,64,50,45,50,41,300,Rock,Ground,,Guts,None,Sand Veil,72 kG,80,1 Atk,60,Green,10240,Neutral,Monster,,45,1250000,,1,False,False,True,False,False,False,False,249,-1,-1,-1,-1,-1,383,-1,139,,Pupitar,False
326,247,Pupitar,70,84,70,65,70,51,410,Rock,Ground,,Shed Skin,None,,152 kG,100,2 Atk,144,Gray,10240,Neutral,Monster,,45,1250000,Lv. 30,1,False,False,True,False,False,False,False,250,-1,-1,-1,-1,-1,384,-1,140,Larvitar,"Tyranitar,Tyranitar (Mega)",False
327,248,Tyranitar,100,134,110,95,100,61,600,Rock,Dark,,Sand Stream,None,Unnerve,202 kG,120,3 Atk,300,Green,10240,Neutral,Monster,,45,1250000,Lv. 55,,True,False,True,False,False,False,False,251,-1,-1,-1,-1,-1,385,-1,141,Pupitar,,False
328,248,Tyranitar (Mega),100,164,150,95,120,71,700,Rock,Dark,,Sand Stream,None,,255 kG,120,3 Atk,315,Green,10240,Neutral,Monster,,45,1250000,Lv. 55,,True,True,False,False,False,False,False,251,-1,-1,-1,-1,-1,385,-1,141,Pupitar,,False
329,249,Lugia,106,90,130,90,154,110,680,Psychic,Flying,,Pressure,None,Multiscale,216 kG,120,3 SpD,340,White,30720,None,Unknown,,3,1250000,,,False,False,True,False,False,False,False,252,-1,-1,-1,-1,-1,-1,-1,-1,,,False
330,250,Ho-Oh,106,130,90,110,154,90,680,Fire,Flying,,Pressure,None,Regenerator,199 kG,100,3 SpD,340,Red,30720,None,Unknown,,3,1250000,,,False,False,True,False,False,False,False,253,-1,-1,-1,-1,-1,-1,-1,-1,,,False
331,251,Celebi,100,100,100,100,100,100,600,Psychic,Grass,,Natural Cure,None,,5 kG,20,3 HP,300,Green,30720,None,Unknown,,45,1059860,,,False,False,True,False,False,False,False,256,-1,-1,-1,-1,-1,-1,-1,-1,,,False
332,252,Treecko,40,45,35,65,55,70,310,Grass,,,Overgrow,None,Unburden,5 kG,20,1 Spe,62,Green,5120,M (87.5%),Monster,Dragon,45,1059860,,1,False,False,True,False,False,False,False,-1,1,-1,-1,-1,-1,-1,-1,-1,,Grovyle,False
333,253,Grovyle,50,65,45,85,65,95,405,Grass,,,Overgrow,None,Unburden,21.6 kG,40,2 Spe,142,Green,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 16,1,False,False,True,False,False,False,False,-1,2,-1,-1,-1,-1,-1,-1,-1,Treecko,"Sceptile,Sceptile (Mega)",False
334,254,Sceptile,70,85,65,105,85,120,530,Grass,,,Overgrow,None,Unburden,52.2 kG,80,3 Spe,265,Green,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,,True,False,True,False,False,False,False,-1,3,-1,-1,-1,-1,-1,-1,-1,Grovyle,,False
335,254,Sceptile (Mega),70,110,75,145,85,145,630,Grass,Dragon,,Lightning Rod,None,,55.2 kG,80,3 Spe,284,Green,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,,True,True,False,False,False,False,False,-1,3,-1,-1,-1,-1,-1,-1,-1,Grovyle,,False
336,255,Torchic,45,60,40,70,50,45,310,Fire,,,Blaze,None,Speed Boost,2.5 kG,20,1 SpA,62,Red,5120,M (87.5%),Field,,45,1059860,,1,False,False,True,False,False,False,False,-1,4,-1,-1,-1,-1,-1,-1,-1,,Combusken,False
337,256,Combusken,60,85,60,85,60,55,405,Fire,Fighting,,Blaze,None,Speed Boost,19.5 kG,40,1 Atk/1 SpA,142,Red,5120,M (87.5%),Field,,45,1059860,Lv. 16,1,False,False,True,False,False,False,False,-1,5,-1,-1,-1,-1,-1,-1,-1,Torchic,"Blaziken,Blaziken (Mega)",False
338,257,Blaziken,80,120,70,110,70,80,530,Fire,Fighting,,Blaze,None,Speed Boost,52 kG,80,3 Atk,265,Red,5120,M (87.5%),Field,,45,1059860,Lv. 36,,True,False,True,False,False,False,False,-1,6,-1,-1,-1,-1,-1,-1,-1,Combusken,,False
339,257,Blaziken (Mega),80,160,80,130,80,100,630,Fire,Fighting,,Speed Boost,None,,52 kG,80,3 Atk,284,Red,5120,M (87.5%),Field,,45,1059860,Lv. 36,,True,True,False,False,False,False,False,-1,6,-1,-1,-1,-1,-1,-1,-1,Combusken,,False
340,258,Mudkip,50,70,50,50,50,40,310,Water,,,Torrent,None,Damp,7.6 kG,20,1 Atk,62,Blue,5120,M (87.5%),Monster,Water1,45,1059860,,1,False,False,True,False,False,False,False,-1,7,-1,-1,-1,-1,-1,-1,-1,,Marshtomp,False
341,259,Marshtomp,70,85,70,60,70,50,405,Water,Ground,,Torrent,None,Damp,28 kG,60,2 Atk,142,Blue,5120,M (87.5%),Monster,Water1,45,1059860,Lv. 16,1,False,False,True,False,False,False,False,-1,8,-1,-1,-1,-1,-1,-1,-1,Mudkip,"Swampert,Swampert (Mega)",False
342,260,Swampert,100,110,90,85,90,60,535,Water,Ground,,Torrent,None,Damp,81.9 kG,80,3 Atk,268,Blue,5120,M (87.5%),Monster,Water1,45,1059860,Lv. 36,,True,False,True,False,False,False,False,-1,9,-1,-1,-1,-1,-1,-1,-1,Marshtomp,,False
343,260,Swampert (Mega),100,150,110,95,110,70,635,Water,Ground,,Swift Swim,None,,102 kG,100,3 Atk,286,Blue,5120,M (87.5%),Monster,Water1,45,1059860,Lv. 36,,True,True,False,False,False,False,False,-1,9,-1,-1,-1,-1,-1,-1,-1,Marshtomp,,False
344,261,Poochyena,35,55,35,30,30,35,220,Dark,,,Run Away,Quick Feet,Rattled,13.6 kG,40,1 Atk,56,Gray,3840,Neutral,Field,,255,1000000,,1,False,False,True,False,False,False,False,-1,10,-1,-1,-1,-1,-1,-1,-1,,Mightyena,False
345,262,Mightyena,70,90,70,60,60,70,420,Dark,,,Intimidate,Quick Feet,Moxie,37 kG,60,2 Atk,147,Gray,3840,Neutral,Field,,127,1000000,Lv. 18,,False,False,True,False,False,False,False,-1,11,-1,-1,-1,-1,-1,-1,-1,Poochyena,,False
